NCES LEA ID,State ID,District Name,Mailing Address,City,State,Zip Code,Zip +4,Telephone,Locale codes of schools in the LEA,Each school has a locale code of 7 or 8?,Is the LEA defined as rural by the State?,Average Daily Attendance,Is county population density less than 10 persons/sq. mile?,Percentage of children from families below poverty line,Does LEA meet low-income poverty requirement?,Alternate Poverty Data Provided by State,"According to alternate data, does LEA meet low-income poverty requirement?","Does each school in LEA have locale code of 6,7, or 8?","FY 2011 Title II, Part A allocation amount","FY 2011 Title II, Part D formula allocation amount - PLEASE LEAVE BLANK","FY 2011 Title IV, Part A allocation amount - PLEASE LEAVE BLANK",FY 2011 Title V allocation amount - PLEASE LEAVE BLANK,SRSA rural eligible,SRSA Small Eligible,SRSA Rural Eligible,SRSA Small Check,SRSA eligible,RLIS rural eligible,RLIS pov. Eligible,Initial RLIS eligible,RLIS eligible
3602300,660413020000,ABBOTT UNION FREE SCHOOL DISTRICT,100 N BROADWAY,IRVINGTON,NY,10533,1254,9145917428,3,NO,NO,82,NO,M,NO,,,NO,N/A,,,,0,1,0,0,-,0,0,0,-
3601001,320700860957,ACADEMIC LEADERSHIP CHARTER SCHOOL,677 E 141ST ST,BRONX,NY,10454,,7185854215,1,NO,NO,207,NO,M,NO,,,NO,N/A,,,,0,1,0,0,-,0,0,0,-
3600997,280201860934,ACADEMY CHARTER SCHOOL,94 FULTON AVE,HEMPSTEAD,NY,11550,,5164082200,3,NO,NO,257,NO,M,NO,,,NO,"$8,907",,,,0,1,0,0,-,0,0,0,-
3600129,10100860876,ACHIEVEMENT ACADEMY CHARTER SCHOOL,42 S DOVE ST,ALBANY,NY,12202,,5185331601,2,NO,NO,252,NO,M,NO,,,NO,"$6,562",,,,0,1,0,0,-,0,0,0,-
3601028,331600860933,ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,350 LINWOOD ST,BROOKLYN,NY,11208,,7182352647,1,NO,NO,174,NO,M,NO,,,NO,"$9,991",,,,0,1,0,0,-,0,0,0,-
3600969,332300860912,ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,2021 BERGEN ST,BROOKLYN,NY,11233,,7183424302,1,NO,NO,338,NO,M,NO,,,NO,"$12,522",,,,0,1,0,0,-,0,0,0,-
3600166,333200860906,ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL,125 COVERT ST,BROOKLYN,NY,11207,,7184431213,1,NO,NO,754,NO,M,NO,,,NO,"$15,490",,,,0,0,0,0,-,0,0,0,-
3600147,331700860879,ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,790 E NEW YORK AVE,BROOKLYN,NY,11203,,7187740762,1,NO,NO,777,NO,M,NO,,,NO,"$28,363",,,,0,0,0,0,-,0,0,0,-
3600149,331900860880,ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,557 PENNSYLVANIA AVE,BROOKLYN,NY,11207,,7184854924,1,NO,NO,599,NO,M,NO,,,NO,"$17,321",,,,0,1,0,0,-,0,0,0,-
3600170,331300860902,ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,510 WAVERLY AVE,BROOKLYN,NY,11238,,7186224786,1,NO,NO,324,NO,M,NO,,,NO,N/A,,,,0,1,0,0,-,0,0,0,-
3602370,570101040000,ADDISON CENTRAL SCHOOL DISTRICT,7787 STATE RT 417,ADDISON,NY,14801,1398,6073592244,7,YES,YES,1130,NO,28.97,YES,,,YES,"$120,844",,,,1,0,0,0,-,1,1,Initial,RLIS
3605040,410401060000,ADIRONDACK CENTRAL SCHOOL DISTRICT,110 FORD ST,BOONVILLE,NY,13309,1200,3159429200,"7,8",YES,YES,1330,NO,17.11,NO,,,YES,"$97,050",,,,1,0,0,0,-,1,0,0,-
3602400,80101040000,AFTON CENTRAL SCHOOL DISTRICT,PO BOX 5,AFTON,NY,13730,5,6076398229,7,YES,YES,585,NO,20.37,YES,,,YES,"$36,944",,,,1,1,0,0,SRSA,1,1,Initial,RLIS
3602430,142101040000,AKRON CENTRAL SCHOOL DISTRICT,47 BLOOMINGDALE AVE,AKRON,NY,14001,1197,7165425006,3,NO,NO,1548,NO,14.21,NO,,,NO,"$50,358",,,,0,0,0,0,-,0,0,0,-
3602460,10100010000,ALBANY CITY SCHOOL DISTRICT,ACADEMY PARK,ALBANY,NY,12207,1099,5184756010,2,NO,NO,8228,NO,28.94,YES,,,NO,"$834,339",,,,0,0,0,0,-,0,1,0,-
3600162,10100860899,ALBANY COMMUNITY CHARTER SCHOOL,65 KRANK ST,ALBANY,NY,12202,,5184331500,2,NO,NO,296,NO,M,NO,,,NO,"$10,346",,,,0,1,0,0,-,0,0,0,-
3601006,10100860960,ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,19 HACKETT BLVD,ALBANY,NY,12208,,5186945300,2,NO,NO,150,NO,M,NO,,,NO,"$8,369",,,,0,1,0,0,-,0,0,0,-
3600130,10100860884,ALBANY PREPARATORY CHARTER SCHOOL,50 SUMMIT AVE,ALBANY,NY,12209,,5186945005,2,NO,NO,214,NO,M,NO,,,NO,"$7,534",,,,0,1,0,0,-,0,0,0,-
3602520,450101060000,ALBION CENTRAL SCHOOL DISTRICT,324 EAST AVE,ALBION,NY,14411,1697,5855892056,4,NO,NO,2107,NO,20.09,YES,,,NO,"$112,521",,,,0,0,0,0,-,0,1,0,-
3602550,140101060000,ALDEN CENTRAL SCHOOL DISTRICT,13190 PARK ST,ALDEN,NY,14004,1099,7169379116,3,NO,NO,1793,NO,9.47,NO,,,NO,"$55,144",,,,0,0,0,0,-,0,0,0,-
3602580,180202040000,ALEXANDER CENTRAL SCHOOL DISTRICT,3314 BUFFALO ST,ALEXANDER,NY,14005,9769,5855911551,7,YES,NO,883,NO,10.28,NO,,,YES,"$34,582",,,,1,0,0,0,-,1,0,0,-
3602670,220202040000,ALEXANDRIA CENTRAL SCHOOL DISTRICT,34 BOLTON AVE,ALEXANDRIA BAY,NY,13607,1699,3154829971,7,YES,YES,637,NO,33.65,YES,,,YES,"$27,862",,,,1,0,0,0,-,1,1,Initial,RLIS
3602700,20101040000,ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,6795 RT 21,ALMOND,NY,14804,9716,6072766500,7,YES,YES,622,NO,13.81,NO,,,YES,"$35,847",,,,1,0,0,0,-,1,0,0,-
3600015,40302060000,ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,3131 FIVE MILE RD,ALLEGANY,NY,14706,9627,7163756600,7,YES,NO,1256,NO,13.13,NO,,,YES,"$55,126",,,,1,0,0,0,-,1,0,0,-
3600970,140600860911,ALOMA D JOHNSON COMMUNITY CHARTER SCHOOL,833 MICHIGAN AVE,BUFFALO,NY,14203,,7168564390,1,NO,NO,301,NO,M,NO,,,NO,"$12,497",,,,0,1,0,0,-,0,0,0,-
3602820,460102040000,ALTMAR-PARISH-WILLIAMSTOWN CENTRAL SCHOOL DISTRICT,PO BOX 97,PARISH,NY,13131,97,3156255251,8,YES,YES,1339,NO,23.52,YES,,,YES,"$80,149",,,,1,0,0,0,-,1,1,Initial,RLIS
3602880,580303020000,AMAGANSETT UNION FREE SCHOOL DISTRICT,PO BOX 7062,AMAGANSETT,NY,11930,7062,6312673572,3,NO,NO,102,NO,1.63,NO,,,NO,"$3,194",,,,0,1,0,0,-,0,0,0,-
3600039,310400860806,AMBER CHARTER SCHOOL,220 E 106TH ST,NEW YORK,NY,10029,4007,2125349667,1,NO,NO,433,NO,M,NO,,,NO,"$14,838",,,,0,1,0,0,-,0,0,0,-
3602920,140201060000,AMHERST CENTRAL SCHOOL DISTRICT,55 KINGS HWY,AMHERST,NY,14226,4330,7163623051,3,NO,NO,2916,NO,8.69,NO,,,NO,"$87,512",,,,0,0,0,0,-,0,0,0,-
3602940,580106030000,AMITYVILLE UNION FREE SCHOOL DISTRICT,150 PARK AVE,AMITYVILLE,NY,11701,3195,6315986520,3,NO,NO,2780,NO,11.47,NO,,,NO,"$117,462",,,,0,0,0,0,-,0,0,0,-
3602970,270100010000,AMSTERDAM CITY SCHOOL DISTRICT,11 LIBERTY ST,AMSTERDAM,NY,12010,670,5188435217,"6,7",NO,NO,3689,NO,25.59,YES,,,YES,"$221,980",,,,0,0,0,0,-,1,1,Initial,RLIS
3603000,120102040000,ANDES CENTRAL SCHOOL DISTRICT,PO BOX 248,ANDES,NY,13731,248,8456763167,7,YES,YES,101,NO,17.36,NO,,,YES,"$9,180",,,,1,1,0,0,SRSA,1,0,0,-
3603030,20601040000,ANDOVER CENTRAL SCHOOL DISTRICT,PO BOX G,ANDOVER,NY,14806,508,6074788491,7,YES,YES,354,NO,26,YES,,,YES,"$22,551",,,,1,1,0,0,SRSA,1,1,Initial,RLIS
3603180,660405030000,ARDSLEY UNION FREE SCHOOL DISTRICT,500 FARM RD,ARDSLEY,NY,10502,1410,9146936300,3,NO,NO,2042,NO,4.19,NO,,,NO,N/A,,,,0,0,0,0,-,0,0,0,-
3603210,640101040000,ARGYLE CENTRAL SCHOOL DISTRICT,5023 STATE RT 40,ARGYLE,NY,12809,67,5186388243,8,YES,YES,601,NO,12.15,NO,,,YES,N/A,,,,1,0,0,0,-,1,0,0,-
3600040,491700860034,ARK COMMUNITY CHARTER SCHOOL,762 RIVER ST,TROY,NY,12180,3017,5182746312,2,NO,NO,206,NO,M,NO,,,NO,"$11,067",,,,0,1,0,0,-,0,0,0,-
3603240,571901040000,ARKPORT CENTRAL SCHOOL DISTRICT,PO BOX 70,ARKPORT,NY,14807,70,6072957471,7,YES,NO,561,NO,11.46,NO,,,YES,"$22,760",,,,1,1,0,0,SRSA,1,0,0,-
3603270,131601060000,ARLINGTON CENTRAL SCHOOL DISTRICT,696 DUTCHESS TPKE,POUGHKEEPSIE,NY,12603,,8454864460,"2,4,8",NO,NO,9724,NO,5.85,NO,,,NO,"$261,679",,,,0,0,0,0,-,0,0,0,-
3603420,670201060000,ATTICA CENTRAL SCHOOL DISTRICT,3338 E MAIN ST,ATTICA,NY,14011,9699,5855912173,"6,7",NO,NO,1524,NO,13.91,NO,,,YES,N/A,,,,0,0,0,0,-,1,0,0,-
3603480,50100010000,AUBURN CITY SCHOOL DISTRICT,78 THORNTON AVE,AUBURN,NY,13021,4698,3152558835,"5,7",NO,NO,4298,NO,19.64,NO,,,NO,"$296,729",,,,0,0,0,0,-,0,0,0,-
3616170,90201040000,AUSABLE VALLEY CENTRAL SCHOOL DISTRICT,1273 RT 9N,CLINTONVILLE,NY,12924,4244,5188342845,7,YES,YES,1202,NO,14.21,NO,,,YES,"$86,925",,,,1,0,0,0,-,1,0,0,-
3600016,491302060000,AVERILL PARK CENTRAL SCHOOL DISTRICT,146 GETTLE RD,AVERILL PARK,NY,12018,9798,5186747055,8,YES,NO,3333,NO,5.99,NO,,,YES,"$85,284",,,,1,0,0,0,-,1,0,0,-
3603630,570201040000,AVOCA CENTRAL SCHOOL DISTRICT,PO BOX G,AVOCA,NY,14809,517,6075662221,7,YES,YES,510,NO,15.21,NO,,,YES,"$42,567",,,,1,1,0,0,SRSA,1,0,0,-
